Dia_do_Teste;Preco_Real_US$;Previsao_IA_US$
181;435,39678955078125;435,68839117181096
182;445,8467712402344;438,22975150738364
183;445,7276916503906;444,3557669330664
184;449,498779296875;446,8296952948852
185;450,512939453125;449,25803595245833
186;451,64633178710943;451,21148776810713
187;456,2197570800781;452,5208124658833
188;455,5238342285157;454,94295864216247
189;449,9561767578125;456,1163997577183
190;452,2329406738281;450,08542129050846
191;447,5799560546875;451,60332239002724
192;458,0292663574219;446,73253320008575
193;454,7184753417969;456,8556904979929
194;456,0308837890625;456,340553415212
195;457,7011413574219;456,8121464815277
196;459,3018798828125;457,55237687634565
197;460,29608154296875;457,42253912554105
198;461,1908874511718;459,80222939134904
199;464,9788818359375;460,77254244000324
200;467,663330078125;463,07010127387343
201;470,0196228027344;467,03601581110274
202;468,2002258300781;467,5433633201609
203;469,8903503417968;467,1786326361698
204;476,104248046875;470,96908717845326
205;472,2168273925781;474,1834461103977
206;476,3727111816406;472,80967841657986
207;475,27905273437494;474,0294302856852
208;477,4663391113282;474,58766531623894
209;474,64276123046875;476,2075438035498
210;483,1930847167969;474,1380417282135
211;487,2793273925781;478,72172385889155
212;489,42687988281256;485,1788467340784
213;494,57696533203125;488,18127712157093
214;493,07568359375006;491,2946037704558
215;494,5372009277343;491,54431101260707
216;489,20809936523443;492,8963363898052
217;488,2536926269531;488,92585930538445
218;495,9589538574219;486,73550530283705
219;494,8453979492187;490,7297763949667
220;493,75173950195307;492,18509725854153
221;500,60195922851557;490,9522200034224
222;498,5836791992187;497,0929757636891
223;500,4130249023438;495,9095413866063
224;500,1147766113281;497,6131174540831
225;502,8986206054687;496,19440709621574
226;502,69976806640625;498,1447731536481
227;508,7446594238281;498,21892596181584
228;507,1041564941406;502,04016436320734
229;507,1141357421875;503,65728014816085
230;502,3517761230469;502,70829077034074
231;502,9483032226563;501,62259923721564
232;507,9294128417969;501,2162149578777
233;510,7431030273437;503,20505006119083
234;509,5400390625;507,10934691574226
235;509,6096496582031;507,0322271422704
236;510,2757568359375;505,00875537397377
237;530,4187622070312;507,32696888147336
238;521,0829467773438;527,2580266659612
239;532,54638671875;516,8306532727363
240;524,701904296875;523,602688036499
241;521,908203125;520,3147701550947
242;517,8318481445312;516,9864689025976
243;519,0249633789062;513,8763127676256
244;518,7565307617188;514,0304303997115
245;526,183349609375;514,6247967428471
246;517,5733642578125;518,9341668157698
247;519,4623413085938;514,3231015706012
248;517,1657104492188;513,1227825014404
249;514,1134033203125;512,107266515856
250;506,82580566406256;509,5249626569767
251;502,7991943359375;503,1489065488284
252;502,15185546875;494,7363872789475
253;505,12951660156256;495,4144834932826
254;502,17181396484375;494,3219008206343
255;499,96099853515625;495,1951830684326
256;504,6415100097657;493,43600109925603
257;507,52951049804693;497,2798016999879
258;504,59173583984375;499,48738284361275
259;503,0282287597656;497,03060082252625
260;503,2572937011719;490,4088466402512
261;505,86645507812494;494,2886114630069
262;492,9501647949218;495,8735360632956
263;496,13690185546875;489,48013804266174
264;496,3460388183593;490,057402757762
265;498,2979125976563;491,8859397303329
266;498,9352722167969;493,4667735949918
267;507,7884521484375;493,6813017462863
268;513,225830078125;499,52731796329624
269;506,9320068359375;504,6796975518959
270;507,9079284667968;502,53651548533077
271;506,3444519042969;500,20177985546775
272;515,78515625;499,5678095047265
273;512,319580078125;506,3501661683461
274;507,12124633789057;506,8595624449721
275;508,0373840332031;501,85770050776284
276;504,9303283691406;500,9040797146133
277;509,34197998046875;502,0056905159439
278;512,4689331054688;503,57100748699503
279;515,8051147460938;505,5257586695197
280;517,557861328125;507,4321923714477
281;513,604248046875;509,0473333102989
282;515,20751953125;505,77370412554495
283;526,3811645507812;505,99794378222435
284;521,8101196289062;516,1212258655969
285;522,676513671875;514,4341437435487
286;520,2366943359375;515,6788876164101
287;508,84405517578125;511,3767466475093
288;511,9212341308593;502,9033682762983
289;511,4432373046875;506,61324905533445
290;511,30380249023443;503,0175345836551
291;509,4913330078125;504,70025861988773
292;511,4532470703125;500,4210038586429
293;514,6498413085938;501,6900657905511
294;515,5162963867188;505,2544616101514
295;518,3843994140625;505,6039021653458
296;518,404296875;510,1107174932376
297;521,441650390625;510,50226580837625
298;529,3189697265625;509,2120180212793
299;539,8252563476562;520,5596132510038
300;539,307373046875;531,2593906603566
301;523,582763671875;531,4522974706579
302;515,6656494140625;519,9879476768833
303;514,888916015625;511,5356781968145
304;512,2001342773438;509,617117141266
305;505,0597839355469;503,6595534449059
306;495,0414428710937;499,9924640538609
307;494,7626037597656;490,32992195538844
308;503,9045715332031;487,0215635715329
309;506,573486328125;494,04127693059576
310;509,02331542968756;495,7608012633877
311;501,20581054687494;496,8721291128936
312;508,06726074218756;493,00033853523956
313;505,3883972167969;493,4252987842959
314;491,7451782226562;491,5383253845893
315;485,1027526855469;482,3982409884339
316;477,3404846191406;480,0427262963308
317;471,04486083984375;474,77935829584925
318;472,92059326171875;468,5108745626908
319;475,90374755859375;468,68819268772205
320;484,3943786621093;469,9172665458258
321;490,88958740234375;478,31978779188034
322;485,6315612792969;482,4059743141099
323;488,8841552734375;477,49512134303524
324;476,64208984375006;479,6499190409449
325;479,7449951171875;471,59936320205566
326;482,0597229003907;474,2405274914434
327;489,90182495117193;474,2667311034829
328;490,8995361328125;479,89160223228316
329;477,4701843261718;483,77855124793194
330;482,36901855468756;475,8631791846265
331;477,4402770996094;477,9897061548482
332;473,73870849609375;475,2994179291838
333;475,3051452636718;471,5655372788245
334;475,03573608398443;470,20814281938095
335;482,87786865234375;468,2864219121801
336;484,8134460449219;473,5083466389672
337;483,8157348632813;478,11494943782657
338;485,7413330078125;479,69165692898497
339;486,90863037109375;483,58087127775684
340;486,59936523437506;482,77563366027226
341;485,9907531738282;481,5924681943512
342;486,3699035644531;478,1820028617089
343;482,51867675781256;479,12677145344617
