Dia_do_Teste;MSFT_Real_US$;MSFT_Previsto_US$;NVDA_Real_US$;NVDA_Previsto_US$;GOOGL_Real_US$;GOOGL_Previsto_US$;META_Real_US$;META_Previsto_US$
157;379,2367248535156;391,3551471532365;110,39398193359376;111,2214661756501;156,49732971191406;159,19468878471702;582,1138916015625;575,4237493401721
158;370,2752990722656;394,1037665913412;101,7760238647461;111,7448285122406;150,1991729736328;160,22803547432756;529,966552734375;580,4238057588393
159;357,10614013671875;377,4310910677472;94,28778076171875;104,28195018975795;145,09689331054688;153,74462733600186;503,16024780273443;537,8839206126335
160;355,14117431640625;364,13098918417927;97,61698913574219;97,06572383482884;146,242919921875;148,36489524431903;514,6444702148438;507,9673663448974
161;351,86627197265625;362,8851657812726;96,27731323242188;95,0512916491606;144,19998168945312;148,11662840148344;508,86248779296875;509,036561983607
162;387,5232849121094;363,01532432603597;114,30306243896484;97,06339865657199;158,16160583496094;147,76758187125526;583,9482421875;520,5926455496024
163;378,45269775390625;389,66814319703366;107,5446548461914;105,75288360048742;152,2919464111328;156,94192719054186;544,591064453125;552,8026248338822
164;385,4988098144531;386,3814694051446;110,90386199951172;105,79557247681109;156,5970001220703;155,45496267672996;541,8795166015625;552,0224130434349
165;384,8636169433594;391,6519940974102;110,68391418457031;108,5105352938687;158,52033996582034;157,0740773121939;529,8270263671875;545,4516472489009
166;382,7994689941406;396,1621719016801;112,1735610961914;111,0849816117944;155,76986694335935;159,56544553614776;519,8980712890625;543,9967159111303
167;368,7867126464844;395,2545317279132;104,46538543701172;111,80025633487476;152,80018615722656;159,08778454323473;500,7477722167969;533,0676730941326
168;364,9858093261719;383,01680263772613;101,4660873413086;106,48311872686274;150,63766479492188;155,36311329030485;499,9203796386719;511,63032788697296
169;356,3916320800781;380,57769586341425;96,88717651367188;104,50829129713031;147,15972900390625;154,92350857670854;483,1526794433594;507,9652886684235
170;364,0331115722656;371,28125574671844;98,86669921875;100,15093975202687;150,9466094970703;151,1660787761429;498,7240905761718;495,10167273162523
171;371,5456237792969;374,6222099525279;102,68579864501953;100,33549730417323;154,8131866455078;152,84291011023032;518,6519775390625;500,9152312615837
172;384,35748291015625;383,0081316144469;106,4049301147461;103,13647217261621;158,7296142578125;156,46218896309276;531,4918823242188;518,0954992055952
173;388,8729553222656;390,79277920916667;110,98385620117188;105,0291577093443;161,4003448486328;159,5400695157988;545,5679931640625;524,796485270837
174;388,1882019042969;399,1964221686724;108,70439147949219;108,35797722919699;160,0550079345703;163,62564218785658;548,0302734375;536,3722109865861
